;thickness(m) = 2.2e-07
mode 0 = TE
mode 1 = TM
;wavelength(m), width(m), curvature(1/m), temperature(K), mode number, neff, ng, loss (dB/m), dispersion(s/m^2)
1.53e-06, 3.5e-07, 0, 250, 0, 2.0725, 4.41369, 141.246, -0.0042406
1.53875e-06, 3.5e-07, 0, 250, 0, 2.05914, 4.40211, 141.934, -0.00458739
1.5475e-06, 3.5e-07, 0, 250, 0, 2.04585, 4.3896, 142.623, -0.00494804
1.55625e-06, 3.5e-07, 0, 250, 0, 2.03264, 4.37613, 143.311, -0.00532203
1.565e-06, 3.5e-07, 0, 250, 0, 2.0195, 4.36166, 144, -0.00570881
1.26e-06, 3.5e-07, 0, 250, 0, 2.49963, 4.5149, 120, -0.000283261
1.285e-06, 3.5e-07, 0, 250, 0, 2.45966, 4.51322, 121.967, -0.000175638
1.31e-06, 3.5e-07, 0, 250, 0, 2.41972, 4.51204, 123.934, -0.000151742
1.335e-06, 3.5e-07, 0, 250, 0, 2.3798, 4.51071, 125.902, -0.000213938
1.36e-06, 3.5e-07, 0, 250, 0, 2.33992, 4.50858, 127.869, -0.000366301
1.53e-06, 4e-07, 0, 250, 0, 2.24642, 4.36983, 140.39, -0.000708753
1.53875e-06, 4e-07, 0, 250, 0, 2.23428, 4.36781, 141.074, -0.000825755
1.5475e-06, 4e-07, 0, 250, 0, 2.22215, 4.36548, 141.759, -0.000951408
1.55625e-06, 4e-07, 0, 250, 0, 2.21004, 4.36281, 142.443, -0.0010859
1.565e-06, 4e-07, 0, 250, 0, 2.19795, 4.35977, 143.127, -0.00122941
1.26e-06, 4e-07, 0, 250, 0, 2.62217, 4.37992, 119.273, -0.000563227
1.285e-06, 4e-07, 0, 250, 0, 2.58733, 4.37662, 121.228, -0.000325245
1.31e-06, 4e-07, 0, 250, 0, 2.55254, 4.3749, 123.183, -0.000139311
1.335e-06, 4e-07, 0, 250, 0, 2.51777, 4.37439, 125.139, -2.92551e-06
1.36e-06, 4e-07, 0, 250, 0, 2.483, 4.37472, 127.094, 8.50533e-05
1.53e-06, 4.5e-07, 0, 250, 0, 2.36679, 4.2706, 139.534, 7.89133e-05
1.53875e-06, 4.5e-07, 0, 250, 0, 2.3559, 4.27076, 140.214, 4.84399e-05
1.5475e-06, 4.5e-07, 0, 250, 0, 2.34501, 4.27084, 140.894, 1.34608e-05
1.55625e-06, 4.5e-07, 0, 250, 0, 2.33413, 4.27082, 141.574, -2.61488e-05
1.565e-06, 4.5e-07, 0, 250, 0, 2.32324, 4.27069, 142.255, -7.05116e-05
1.26e-06, 4.5e-07, 0, 250, 0, 2.70247, 4.28102, 118.545, -0.000978878
1.285e-06, 4.5e-07, 0, 250, 0, 2.67122, 4.27471, 120.489, -0.000708987
1.31e-06, 4.5e-07, 0, 250, 0, 2.64007, 4.27027, 122.432, -0.000480962
1.335e-06, 4.5e-07, 0, 250, 0, 2.60898, 4.26739, 124.376, -0.000290616
1.36e-06, 4.5e-07, 0, 250, 0, 2.57794, 4.26581, 126.319, -0.000134966
1.53e-06, 5e-07, 0, 250, 0, 2.45798, 4.17837, 138.678, 0.000123291
1.53875e-06, 5e-07, 0, 250, 0, 2.44814, 4.1787, 139.354, 0.000126029
1.5475e-06, 5e-07, 0, 250, 0, 2.4383, 4.17903, 140.03, 0.00012612
1.55625e-06, 5e-07, 0, 250, 0, 2.42845, 4.17935, 140.706, 0.00012351
1.565e-06, 5e-07, 0, 250, 0, 2.41861, 4.17967, 141.382, 0.000118173
1.26e-06, 5e-07, 0, 250, 0, 2.76265, 4.20821, 117.818, -0.00134987
1.285e-06, 5e-07, 0, 250, 0, 2.73407, 4.19914, 119.75, -0.00107324
1.31e-06, 5e-07, 0, 250, 0, 2.70563, 4.19201, 121.681, -0.00083446
1.335e-06, 5e-07, 0, 250, 0, 2.67732, 4.18654, 123.613, -0.000628704
1.36e-06, 5e-07, 0, 250, 0, 2.6491, 4.1825, 125.544, -0.000452227
1.53e-06, 5.5e-07, 0, 250, 0, 2.52322, 4.10407, 137.822, -2.60476e-05
1.53875e-06, 5.5e-07, 0, 250, 0, 2.51418, 4.10402, 138.494, -1.03155e-05
1.5475e-06, 5.5e-07, 0, 250, 0, 2.50514, 4.10401, 139.165, 3.60069e-06
1.55625e-06, 5.5e-07, 0, 250, 0, 2.4961, 4.10403, 139.837, 1.56642e-05
1.565e-06, 5.5e-07, 0, 250, 0, 2.48706, 4.10408, 140.509, 2.58694e-05
1.26e-06, 5.5e-07, 0, 250, 0, 2.80503, 4.1543, 117.091, -0.00163869
1.285e-06, 5.5e-07, 0, 250, 0, 2.77838, 4.14307, 119.01, -0.00136288
1.31e-06, 5.5e-07, 0, 250, 0, 2.75192, 4.13376, 120.93, -0.00112312
1.335e-06, 5.5e-07, 0, 250, 0, 2.72562, 4.12614, 122.849, -0.000914344
1.36e-06, 5.5e-07, 0, 250, 0, 2.69945, 4.11998, 124.769, -0.000732504
1.53e-06, 6e-07, 0, 250, 0, 2.57582, 4.04316, 136.966, -0.000220723
