["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","LEFT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission",5.16271e-13)
(23, 3)
1.9156067603833866e+14 4.3177607071803572e-03 1.1210967566176576e-01
1.9177978138674853e+14 6.8930486633644950e-03 2.2238637433438518e-01
1.9199888673515838e+14 8.8806819814658353e-03 3.7513535323271802e-01
1.9221799208356825e+14 1.0389996557737141e-02 5.4674950576505610e-01
1.9243709743197812e+14 1.1561803753170924e-02 7.0704134544813635e-01
1.9265620278038797e+14 1.2346250104852449e-02 8.2575417357431102e-01
1.9287530812879784e+14 1.2525954464274581e-02 8.8490526614403564e-01
1.9309441347720772e+14 1.1941682534588643e-02 8.8044001923572046e-01
1.9331351882561756e+14 1.0668132026773386e-02 8.1990312675645294e-01
1.9353262417402744e+14 8.9890903581449650e-03 7.2911602135070008e-01
1.9373235434948506e+14 7.3836283696108876e-03 6.7409454197178109e-01
1.9375172952243731e+14 7.2334744632291418e-03 6.7345997041322070e-01
1.9377110469538956e+14 7.0854336867392639e-03 6.7409454197178131e-01
1.9397083487084716e+14 5.8028217081165009e-03 7.8400743205690970e-01
1.9418994021925703e+14 5.7057285829839001e-03 1.1489991847888188e+00
1.9440904556766688e+14 7.8551827779595480e-03 1.4651521556514593e+00
1.9462815091607675e+14 1.1338434577734365e-02 1.5615413192011229e+00
1.9484725626448662e+14 1.4789385547288422e-02 1.5396416702438229e+00
1.9506636161289647e+14 1.7108790074643301e-02 1.4661983427840606e+00
1.9528546696130634e+14 1.7527967044584120e-02 1.3665265821232053e+00
1.9550457230971622e+14 1.5747802270442063e-02 1.2473107157098908e+00
1.9572367765812606e+14 1.2036353978601167e-02 1.1012895553553750e+00
1.9594278300653594e+14 7.2099572638716558e-03 8.8607112473830130e-01
("port 1","mode 1",1,"port 2",1,"transmission",5.5870956104629722e-13)
(23, 3)
1.9156067603833866e+14 8.4461572879790048e-01 -6.6288216532874145e-01
1.9177978138674853e+14 8.4545926041331421e-01 -6.6148632380140149e-01
1.9199888673515838e+14 8.4630231803737144e-01 -6.6023859447178712e-01
1.9221799208356825e+14 8.4713689930782199e-01 -6.5915267337242256e-01
1.9243709743197812e+14 8.4797000693791102e-01 -6.5823917090545603e-01
1.9265620278038797e+14 8.4881058806737408e-01 -6.5748835880294787e-01
1.9287530812879784e+14 8.4965196875936244e-01 -6.5688135461232278e-01
1.9309441347720772e+14 8.5047709052708920e-01 -6.5641264520852316e-01
1.9331351882561756e+14 8.5127795782084681e-01 -6.5608902526521018e-01
1.9353262417402744e+14 8.5205856540339253e-01 -6.5590803228028693e-01
1.9373235434948506e+14 8.5275177696145721e-01 -6.5585216800723256e-01
1.9375172952243731e+14 8.5281772430121161e-01 -6.5585174087138609e-01
1.9377110469538956e+14 8.5288338902895977e-01 -6.5585216800723267e-01
1.9397083487084716e+14 8.5354092895611833e-01 -6.5590667964094873e-01
1.9418994021925703e+14 8.5421595389361615e-01 -6.5607815012286230e-01
1.9440904556766688e+14 8.5484846655282076e-01 -6.5637583520711418e-01
1.9462815091607675e+14 8.5545354539509477e-01 -6.5679346594627808e-01
1.9484725626448662e+14 8.5603738289378628e-01 -6.5731443545794466e-01
1.9506636161289647e+14 8.5659852777014212e-01 -6.5793281297809403e-01
1.9528546696130634e+14 8.5714510234358077e-01 -6.5865411981773547e-01
1.9550457230971622e+14 8.5769693683348402e-01 -6.5947394595441611e-01
1.9572367765812606e+14 8.5826526225859112e-01 -6.6037090400500142e-01
1.9594278300653594e+14 8.5884052555866119e-01 -6.6132991298275257e-01
("port 1","mode 1",1,"port 3",1,"transmission",3.2634356351839968e-13)
(23, 3)
1.9156067603833866e+14 2.5091645298167295e-03 2.6582595719853845e+00
1.9177978138674853e+14 3.5413412993863984e-03 3.0338646082095568e+00
1.9199888673515838e+14 4.4145176296647290e-03 3.4568800565669546e+00
1.9221799208356825e+14 5.0065519345122086e-03 3.9018486204329501e+00
1.9243709743197812e+14 5.2468697572517426e-03 4.3562028159951556e+00
1.9265620278038797e+14 5.1188949730886519e-03 4.8083552057425099e+00
1.9287530812879784e+14 4.6542229532630514e-03 5.2409489744396751e+00
1.9309441347720772e+14 3.9320535648295300e-03 5.6217294721665549e+00
1.9331351882561756e+14 3.1144608841139469e-03 5.8857501130137351e+00
1.9353262417402744e+14 2.5547078783302360e-03 5.9381917390475856e+00
1.9373235434948506e+14 2.6865376874876563e-03 5.8760680691231810e+00
1.9375172952243731e+14 2.7360604311382512e-03 5.8751765111714542e+00
1.9377110469538956e+14 2.7909979883749851e-03 5.8760680691231810e+00
1.9397083487084716e+14 3.5751331716938539e-03 5.9943876393403226e+00
1.9418994021925703e+14 4.5705258110099786e-03 6.3005123415429551e+00
1.9440904556766688e+14 5.3838438527486036e-03 6.7063094727365451e+00
1.9462815091607675e+14 5.8404647173205121e-03 7.1665195120270946e+00
1.9484725626448662e+14 5.8669260582922943e-03 7.6618914428443690e+00
1.9506636161289647e+14 5.4604904711565922e-03 8.1847299743221651e+00
1.9528546696130634e+14 4.6681006985612051e-03 8.7348870464120250e+00
1.9550457230971622e+14 3.5758538575972458e-03 9.3247899425974428e+00
1.9572367765812606e+14 2.3217933544873821e-03 1.0008561112528872e+01
1.9594278300653594e+14 1.2064566673690145e-03 1.1047529037660979e+01
("port 1","mode 1",1,"port 4",1,"transmission",5.5429979932970164e-13)
(23, 3)
1.9156067603833866e+14 5.2485236576387617e-01 -1.3210910037723618e+00
1.9177978138674853e+14 5.2355332563383905e-01 -1.3206830925224002e+00
1.9199888673515838e+14 5.2222559427733495e-01 -1.3203126534154104e+00
1.9221799208356825e+14 5.2087359761295371e-01 -1.3199761468216380e+00
