wavelength,gain_port_1,gain_port_2,gain_port_3,gain_port_4,gain_port_5,gain_port_6,gain_port_7,gain_port_8
1565.0,-22.35825464512924,-20.29355983138975,-2.507314953141396,-25.660834025700638,-20.90771816082917,-10.6881104689895,-14.359935337884277,-20.9124473287485
1564.9642001653558,-21.7503589429956,-19.541671563649135,-2.6479173979622823,-24.82424956247682,-20.635163356438845,-10.15798108537126,-14.178610870077444,-20.544412167141367
1564.9284019685374,-21.227113560483247,-18.87363376752858,-2.8033142161738067,-24.09977476060846,-20.378084895410264,-9.636765464340797,-14.010713264544613,-20.192292644594296
1564.8926054094327,-20.77776765801567,-18.278657306453617,-2.973890692974544,-23.469930166344597,-20.14042058178896,-9.127988062187605,-13.860172306002998,-19.8599069652811
1564.8568104879296,-20.394086255172592,-17.748467621474255,-3.160085234951776,-22.92178001518851,-19.925071594003985,-8.634099128677699,-13.729871687746291,-19.550032826488582
1564.821017203915,-20.069679504549782,-17.276633938174875,-3.3623925844098395,-22.445546331255212,-19.734156574698506,-8.156724063930575,-13.621902096989995,-19.264660110741033
1564.7852255572768,-19.799548317435935,-16.858114820310977,-3.5813675907369076,-22.03372225287835,-19.569225081612494,-7.696871368926504,-13.537773594664309,-19.005202905998395
1564.7494355479027,-19.57976862842651,-16.48894235701395,-3.817629815440468,-21.680484401068174,-19.431430831315698,-7.255099466982645,-13.478587676911076,-18.772671237751293
1564.7136471756808,-19.407267692764833,-16.165998377003934,-4.0718693311578305,-21.38129231413298,-19.321669232908633,-6.831646701404485,-13.445173454912666,-18.567806946665296
1564.677860440498,-19.2796635893751,-15.886853862397315,-4.344854173876361,-21.132609530882334,-19.240685040860978,-6.426530098113571,-13.438193702394194,-18.39118945838829
1564.6420753422428,-19.19514967683206,-15.64965330893332,-4.637440016852269,-20.93170673734099,-19.189156009334553,-6.039618472660591,-13.45822654918108,-18.243317221589123
1564.606291880802,-19.152412267007435,-15.453032296887583,-4.950582751380171,-20.77652235775807,-19.167758007776328,-5.670684956201528,-13.50582814605486,-18.124670137307596
1564.570510056064,-19.15057393576276,-15.296060691493022,-5.285354784169223,-20.665564983145323,-19.177216548004633,-5.319443396819886,-13.581581076909844,-18.03575775376315
1564.5347298679162,-19.18914226477947,-15.178183977214687,-5.642954164218565,-20.597835286367378,-19.218334118073322,-4.985557147524756,-13.686109089401413,-17.977139200058566
