["port 4","LEFT"]
["port 2","RIGHT"]
["port 1","LEFT"]
["port 3","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(30, 3)
1.9034441777777775e+14 4.5268553794819628e-04 1.1639183522776797e+00
1.9057389921087241e+14 3.2572815429853923e-04 3.5822100408016215e+00
1.9080393464281794e+14 1.3008454096125288e-04 5.5781659023921293e+00
1.9103452608217972e+14 2.3931075640632235e-04 6.9063998362351819e+00
1.9126567554724450e+14 4.4241899760661535e-04 9.5113060066004493e+00
1.9149738506607928e+14 3.3967778075874431e-04 1.2038493998941592e+01
1.9172965667659056e+14 3.8498461656055565e-04 1.4205071612693125e+01
1.9196249242658422e+14 5.0480834946983635e-04 1.6595871803639088e+01
1.9219589437382556e+14 5.3783081443362719e-04 1.9223207803016916e+01
1.9242986458610003e+14 4.3254762752938141e-04 2.1780545519605546e+01
1.9266440514127422e+14 4.1053012905288566e-04 2.4059133715078325e+01
1.9289951812735744e+14 3.4506837102581041e-04 2.6460462891806820e+01
1.9313520564256356e+14 3.5038812448721907e-04 2.8812145696259474e+01
1.9337146979537366e+14 2.9661950835850853e-04 3.1088248584699027e+01
1.9360831270459859e+14 2.5742522726355225e-04 3.3399408764261388e+01
1.9384573649944256e+14 3.3014069433311605e-04 3.5477339159713168e+01
1.9408374331956691e+14 3.3202771224888453e-04 3.7984881071608989e+01
1.9432233531515422e+14 3.2534707997114247e-04 4.0281963190826716e+01
1.9456151464697325e+14 4.0439949129480871e-04 4.2250729289238137e+01
1.9480128348644409e+14 6.6086296449264451e-04 4.5052226462101757e+01
1.9504164401570384e+14 6.7614510555920738e-04 4.7763432764483603e+01
1.9528259842767294e+14 5.6089338555626164e-04 5.0526881793121703e+01
1.9552414892612166e+14 5.0175285706896056e-04 5.2870133194341911e+01
1.9576629772573744e+14 3.8390047644136261e-04 5.5283654392157217e+01
1.9600904705219253e+14 5.1444320875436921e-04 5.8168928921797416e+01
1.9625239914221219e+14 4.3591115379917917e-05 5.8950645975033474e+01
1.9649635624364334e+14 2.5854404373675655e-04 6.1617123485381526e+01
1.9674092061552388e+14 6.6343438527248022e-04 6.4254767106548357e+01
1.9698609452815225e+14 4.0851758749205669e-04 6.6972921787054432e+01
1.9723188026315788e+14 7.3583878334581090e-04 6.9367149217578003e+01
("port 1","mode 1",1,"port 4",1,"transmission")
(30, 3)
1.9034441777777775e+14 5.5465373393594815e-04 8.7423788763123922e-01
1.9057389921087241e+14 4.3729457568925914e-04 3.3814927292424564e+00
1.9080393464281794e+14 2.6455283304624205e-04 5.6131701270769243e+00
1.9103452608217972e+14 2.7455627503325335e-04 7.4225685887052979e+00
