["port 1","LEFT"]
["port 3","RIGHT"]
["port 2","RIGHT"]
["port 4","LEFT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(50, 3)
1.9034441777777775e+14 1.3828693503296038e-03 1.9179830624445326e+00
1.9048016651970953e+14 1.2932423670936975e-03 3.6267630200808947e+00
1.9061610902484916e+14 1.3753164211714624e-03 5.3312878219718023e+00
1.9075224570834953e+14 1.4223085014327397e-03 7.0584918697025767e+00
1.9088857698655056e+14 1.5924418319944531e-03 8.7737699006094356e+00
1.9102510327698309e+14 1.6229973655879774e-03 1.0736375380644116e+01
1.9116182499837331e+14 1.2851174844428481e-03 1.2612465236714295e+01
1.9129874257064719e+14 1.0203987687611908e-03 1.4233203690932577e+01
1.9143585641493450e+14 7.8968127098612252e-04 1.5665809304486864e+01
1.9157316695357328e+14 1.1434233263576373e-03 1.7171261649744562e+01
1.9171067461011416e+14 1.2644128684311516e-03 1.9052567021532415e+01
1.9184837980932478e+14 1.1076858725807940e-03 2.0821337769359914e+01
1.9198628297719400e+14 1.0745822938140433e-03 2.2556600040477264e+01
1.9212438454093644e+14 8.4004753738270834e-04 2.4076591326168085e+01
1.9226268492899678e+14 1.1167910089641565e-03 2.5517456158803341e+01
1.9240118457105434e+14 1.4317000634911775e-03 2.7371937095846601e+01
1.9253988389802738e+14 1.4522081845006977e-03 2.9258796186669077e+01
1.9267878334207766e+14 1.3240959284047651e-03 3.1033823982819850e+01
1.9281788333661481e+14 1.3390722098063140e-03 3.2681435587413233e+01
1.9295718431630106e+14 1.5259016488434916e-03 3.4418028284621755e+01
1.9309668671705553e+14 1.5083105242559586e-03 3.6317654278436926e+01
1.9323639097605891e+14 1.3373277032113515e-03 3.7999231284560821e+01
1.9337629753175803e+14 1.4036613067319556e-03 3.9646899675618918e+01
1.9351640682387038e+14 1.5813679473615891e-03 4.1418429949948489e+01
1.9365671929338869e+14 1.6549895681887640e-03 4.3226937516959069e+01
1.9379723538258572e+14 1.6030729584757639e-03 4.5105597975348495e+01
1.9393795553501878e+14 1.3692341281281429e-03 4.6885727285030399e+01
