["port 1","LEFT"]
["port 3","RIGHT"]
["port 2","RIGHT"]
["port 4","LEFT"]
("port 1","mode 4",4,"port 1",4,"transmission")
(50, 3)
1.9034441777777775e+14 9.4676841660809555e-05 -1.0493801860622161e+00
1.9048016651970953e+14 1.8839003721020898e-05 3.9276903828802306e-01
1.9061610902484916e+14 7.0368194433878572e-05 -2.3840582301193152e+00
1.9075224570834953e+14 1.1217084046192275e-04 -1.4094873643441943e+00
1.9088857698655056e+14 7.3248915706355402e-05 -5.3359085543476692e-01
1.9102510327698309e+14 3.0958137182850600e-05 -1.5070428126419346e+00
1.9116182499837331e+14 8.5392956555099505e-05 -1.2529810058068858e+00
1.9129874257064719e+14 8.2508423189190400e-05 -5.5186151322548571e-01
1.9143585641493450e+14 4.0224066198080640e-05 -7.0505257001643840e-01
1.9157316695357328e+14 7.4105158402449519e-05 -9.1030044420488765e-01
1.9171067461011416e+14 7.9940856084607443e-05 -4.6258164349782560e-01
1.9184837980932478e+14 6.1513276299017254e-05 -4.8459346242358731e-01
1.9198628297719400e+14 8.9979246954248894e-05 -4.4679137797216900e-01
1.9212438454093644e+14 8.7449527842976165e-05 8.3146962284950221e-02
1.9226268492899678e+14 4.0606714258840601e-05 -2.1987544414540774e-01
1.9240118457105434e+14 1.1432747201269417e-04 -4.4278521029788348e-01
1.9253988389802738e+14 1.4469228917723874e-04 2.6471999915528766e-01
1.9267878334207766e+14 9.3816472260434749e-05 8.2798205251143675e-01
1.9281788333661481e+14 7.8266224740348794e-05 3.1114519289877851e-01
1.9295718431630106e+14 1.0918782919347912e-04 7.8987522559228895e-01
1.9309668671705553e+14 4.2341518685004018e-05 1.0911208624402340e+00
1.9323639097605891e+14 1.2424223820480261e-04 -4.5067139920691281e-03
1.9337629753175803e+14 2.3175529975226841e-04 9.0091054646297908e-01
1.9351640682387038e+14 1.8328201858716541e-04 2.0840317568590607e+00
1.9365671929338869e+14 3.7207766415098742e-05 4.7165869220413130e+00
1.9379723538258572e+14 1.8378352385917500e-04 6.8471847884441024e+00
1.9393795553501878e+14 2.4353723051901894e-04 7.9391560043730820e+00
1.9407888019553441e+14 1.2127647006633636e-04 8.8129561388882856e+00
1.9422000981027303e+14 6.6587587859387882e-05 7.8090558599943094e+00
1.9436134482667369e+14 1.3942959422769753e-04 8.1023807289931504e+00
1.9450288569347897e+14 1.1710308870922824e-04 8.6221691922759156e+00
1.9464463286073938e+14 1.1501221023083086e-04 8.4811448485189835e+00
1.9478658677981834e+14 1.2825443958636385e-04 8.7895780142349267e+00
1.9492874790339700e+14 1.1729853737874403e-04 9.0745497332034102e+00
1.9507111668547903e+14 8.7948550007362346e-05 8.9397670416631083e+00
1.9521369358139534e+14 1.1446114878162396e-04 9.0986732453839991e+00
1.9535647904780900e+14 1.1447531438500522e-04 9.1122236980368712e+00
1.9549947354272025e+14 1.3789518902202456e-04 9.4607124231439279e+00
1.9564267752547112e+14 1.3122272607555698e-04 9.7035475587660898e+00
1.9578609145675062e+14 1.1448572956254636e-04 9.9563363084029302e+00
1.9592971579859950e+14 1.0934723665926436e-04 1.0108946311511874e+01
1.9607355101441538e+14 7.7915407253620057e-05 1.0316882723066179e+01
1.9621759756895744e+14 7.6943093329341446e-05 9.8385985604195376e+00
1.9636185592835181e+14 1.3691494505402614e-04 1.0124416835463350e+01
1.9650632656009628e+14 1.3523189487395522e-04 1.0813717717905156e+01
1.9665100993306559e+14 6.0288744762273374e-05 1.1498826752980486e+01
1.9679590651751625e+14 7.3696123092850468e-05 9.6442684633558713e+00
1.9694101678509184e+14 1.6010229368915421e-04 1.0471429098154315e+01
1.9708634120882806e+14 1.6962758508502643e-04 1.1247843443228870e+01
1.9723188026315788e+14 1.0596215218686639e-04 1.2015244128720669e+01
("port 1","mode 4",4,"port 4",4,"transmission")
(50, 3)
1.9034441777777775e+14 5.7512987891705459e-05 2.0683233691682834e+00
1.9048016651970953e+14 2.3333639591034911e-05 4.6885082166839638e+00
1.9061610902484916e+14 5.3928302789868912e-05 6.4721565339091596e+00
1.9075224570834953e+14 6.0183258266266632e-05 7.4794572847134750e+00
1.9088857698655056e+14 2.8621466949470067e-05 7.9176633859596386e+00
1.9102510327698309e+14 3.4705190131524166e-05 7.5949562211564965e+00
1.9116182499837331e+14 3.0338528044047730e-05 7.8383046899753337e+00
1.9129874257064719e+14 2.9830957659724806e-05 7.3195574729268191e+00
1.9143585641493450e+14 7.4062712386491482e-05 7.5912619441621230e+00
1.9157316695357328e+14 8.0287438573762890e-05 8.4559706971907023e+00
1.9171067461011416e+14 3.5798096760427943e-05 9.0331286692406199e+00
1.9184837980932478e+14 5.1091308364617128e-05 7.6649114433213912e+00
1.9198628297719400e+14 1.0371424945534220e-04 8.6140220756194754e+00
1.9212438454093644e+14 7.0775896829872951e-05 9.6304617288709711e+00
1.9226268492899678e+14 1.8092509960275833e-05 6.9456905058850440e+00
1.9240118457105434e+14 1.0907703786084593e-04 8.3549558543712834e+00
1.9253988389802738e+14 1.2437710536241698e-04 9.4015737345063179e+00
1.9267878334207766e+14 5.4719882030730770e-05 1.0213941680425171e+01
1.9281788333661481e+14 5.6064017062405170e-05 8.7712598787285518e+00
1.9295718431630106e+14 1.1139461416708690e-04 9.5472950669850327e+00
1.9309668671705553e+14 6.4447685285735494e-05 1.0325750952248782e+01
1.9323639097605891e+14 6.9288567052774844e-05 9.3668504539979889e+00
1.9337629753175803e+14 1.2231365447682113e-04 9.9916651622372399e+00
1.9351640682387038e+14 1.1150953439938536e-04 1.0796816516148310e+01
1.9365671929338869e+14 2.1391176076810524e-05 1.0370083202482560e+01
1.9379723538258572e+14 1.0682164922286637e-04 1.0169421101079712e+01
1.9393795553501878e+14 1.0269268377654121e-04 1.0942320026937461e+01
1.9407888019553441e+14 6.5900873969178822e-05 1.1056447113302303e+01
1.9422000981027303e+14 7.8086216586076802e-05 1.0835706648339723e+01
1.9436134482667369e+14 8.2498295962321039e-05 1.1135362619704921e+01
1.9450288569347897e+14 1.0831460137350193e-04 1.1035405097262824e+01
1.9464463286073938e+14 1.4208268192747662e-04 1.1684054450715537e+01
1.9478658677981834e+14 9.3725596916399096e-05 1.2602819155137702e+01
1.9492874790339700e+14 5.4118161326018238e-05 1.0166501887752332e+01
1.9507111668547903e+14 1.8307434367459305e-04 1.1484771099464416e+01
1.9521369358139534e+14 1.9572025860705163e-04 1.2526832596817197e+01
1.9535647904780900e+14 1.0930591101524418e-04 1.3691018759279881e+01
1.9549947354272025e+14 5.9040709595460432e-05 1.0721007529182854e+01
1.9564267752547112e+14 1.3724624817818134e-04 1.2112349101723041e+01
1.9578609145675062e+14 1.3046970893919988e-04 1.2923923270176749e+01
1.9592971579859950e+14 7.6554847799181213e-05 1.3418535757843273e+01
1.9607355101441538e+14 5.6820527365235582e-05 1.3008079819023632e+01
1.9621759756895744e+14 6.4975797269341089e-05 1.3036578343131850e+01
1.9636185592835181e+14 8.5770803029582514e-05 1.2989524208418620e+01
1.9650632656009628e+14 1.2767271864214997e-04 1.3438726053805571e+01
1.9665100993306559e+14 1.2899558190087381e-04 1.4247784696933319e+01
1.9679590651751625e+14 6.8862251512987580e-05 1.5411419022692815e+01
1.9694101678509184e+14 6.1022405930828759e-05 1.8435612460623609e+01
1.9708634120882806e+14 1.2232696495613970e-04 1.9851161557606428e+01
1.9723188026315788e+14 1.0053522912020940e-04 2.0821096813757961e+01
("port 1","mode 4",4,"port 2",4,"transmission")
(50, 3)
1.9034441777777775e+14 2.4149281524503202e-04 -2.7067476434287125e+00
1.9048016651970953e+14 1.6521602206950449e-04 -1.9346079098930749e+00
1.9061610902484916e+14 1.2484978094001313e-04 -9.5682500605781118e-01
1.9075224570834953e+14 1.0741786433996690e-04 4.6261524215050753e-01
1.9088857698655056e+14 1.1087814949793385e-04 1.7741904345079509e+00
1.9102510327698309e+14 1.4028729319725563e-04 2.5600811729743991e+00
1.9116182499837331e+14 1.9377182167828907e-04 3.3487676549448899e+00
1.9129874257064719e+14 2.0752441245391407e-04 4.1233383683443705e+00
1.9143585641493450e+14 2.2081345355804281e-04 4.6403540871518132e+00
1.9157316695357328e+14 2.5841889882350489e-04 5.2617811001563481e+00
1.9171067461011416e+14 2.6187010924868869e-04 5.8714270536366566e+00
1.9184837980932478e+14 2.9030701477445278e-04 6.4007478437680287e+00
1.9198628297719400e+14 3.1725685639666715e-04 7.0618491476502250e+00
1.9212438454093644e+14 3.2382180275330617e-04 7.7030186892080739e+00
1.9226268492899678e+14 3.4504593970127419e-04 8.4226256359657032e+00
