["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","RIGHT"]
["port 4","LEFT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(5, 3)
1.9034441777777775e+14 5.6947795764148060e-02 -2.2934165861588016e+00
1.9206628339912278e+14 4.5095012384924006e-02 -4.5831602111226584e+00
1.9378814902046781e+14 3.6577947747134368e-02 -6.8772248258361843e+00
1.9551001464181284e+14 2.3513163938172880e-02 -9.1960547195055966e+00
1.9723188026315788e+14 3.0135705462129323e-02 -1.1417511458411596e+01
("port 1","mode 1",1,"port 2",1,"transmission")
(5, 3)
1.9034441777777775e+14 2.0002147051210814e-01 2.7421122562237752e+00
1.9206628339912278e+14 2.0931907916079540e-01 4.8829588662135643e+00
1.9378814902046781e+14 2.1641164792727069e-01 7.0372425544925337e+00
1.9551001464181284e+14 2.1828243103913492e-01 9.2308056219140333e+00
1.9723188026315788e+14 2.2223422161218567e-01 1.1491079177374656e+01
("port 1","mode 1",1,"port 3",1,"transmission")
(5, 3)
1.9034441777777775e+14 1.7219553129464987e-01 -1.8263512635519903e+00
1.9206628339912278e+14 1.8287127150634788e-01 2.8060341926737559e-01
1.9378814902046781e+14 1.9324413716072572e-01 2.4109188879583212e+00
1.9551001464181284e+14 2.0072385115351543e-01 4.5847672326544959e+00
1.9723188026315788e+14 2.0876372997071913e-01 6.8374530308920791e+00
("port 1","mode 1",1,"port 4",1,"transmission")
(5, 3)
1.9034441777777775e+14 8.5728853890405826e-02 -2.9069085525962310e+00
1.9206628339912278e+14 7.5553728109592433e-02 -5.3045264078986465e+00
1.9378814902046781e+14 6.5053977157325596e-02 -7.6802847511714720e+00
1.9551001464181284e+14 5.3864387609908602e-02 -9.9577154921402098e+00
1.9723188026315788e+14 4.1951639380603215e-02 -1.2114827040547315e+01
("port 2","mode 1",1,"port 1",1,"transmission")
(5, 3)
1.9034441777777775e+14 1.9862206228067250e-01 2.7427919385447361e+00
1.9206628339912278e+14 2.0707849678818974e-01 4.8786443160425410e+00
1.9378814902046781e+14 2.1177606581968650e-01 7.0407410632637832e+00
1.9551001464181284e+14 2.1333136754857140e-01 9.2515923568809288e+00
1.9723188026315788e+14 2.2090000307843619e-01 1.1527196031177519e+01
("port 2","mode 1",1,"port 2",1,"transmission")
(5, 3)
1.9034441777777775e+14 3.5554969328110136e-01 1.8999650326206454e+00
1.9206628339912278e+14 3.5668738820567719e-01 2.6816454428052383e+00
1.9378814902046781e+14 3.5626593784939997e-01 3.4695331118863488e+00
1.9551001464181284e+14 3.5695797365928483e-01 4.2632470669410143e+00
1.9723188026315788e+14 3.5929870490613625e-01 5.0554537369858430e+00
("port 2","mode 1",1,"port 3",1,"transmission")
(5, 3)
1.9034441777777775e+14 1.1743854817958806e-02 -9.2122496830893286e-01
1.9206628339912278e+14 2.4992665511429476e-02 -2.9898874683709348e-01
1.9378814902046781e+14 2.3684251635670745e-02 8.0523650747816408e-02
1.9551001464181284e+14 1.3040023026934777e-02 9.6534464906606310e-01
