["port 1","LEFT"]
["port 2","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(3, 3)
1.8737028625000000e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9341448903225806e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9986163866666666e+14 0.0000000000000000e+00 0.0000000000000000e+00
("port 1","mode 1",1,"port 2",1,"transmission")
(3, 3)
1.8737028625000000e+14 9.9999999999999734e-01 1.0321530712493667e+00
1.9341448903225806e+14 9.9999999999999956e-01 3.7962433467974233e+00
1.9986163866666666e+14 1.0000000000000053e+00 6.6986121652905819e+00
("port 2","mode 1",1,"port 1",1,"transmission")
(3, 3)
1.8737028625000000e+14 9.9999999999999734e-01 1.0321530712493667e+00
1.9341448903225806e+14 9.9999999999999956e-01 3.7962433467974233e+00
1.9986163866666666e+14 1.0000000000000053e+00 6.6986121652905819e+00
("port 2","mode 1",1,"port 2",1,"transmission")
(3, 3)
1.8737028625000000e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9341448903225806e+14 0.0000000000000000e+00 0.0000000000000000e+00
1.9986163866666666e+14 0.0000000000000000e+00 0.0000000000000000e+00
