["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission",8.69109e-14)
(52, 3)
1.8737028625000000e+14 4.1199840703885153e-02 -1.1197123583552180e+00
1.8762521180952381e+14 4.1747366692180557e-02 -1.1546900622884477e+00
1.8788013736904762e+14 4.1875815095529977e-02 -1.1881045573611593e+00
1.8813506292857144e+14 4.1565772364482320e-02 -1.2244778889565071e+00
1.8838998848809525e+14 4.0904720567375978e-02 -1.2683613610889353e+00
1.8864491404761903e+14 4.0080980748832970e-02 -1.3232525993441180e+00
1.8889983960714284e+14 3.9348814057910887e-02 -1.3901833864445519e+00
1.8915476516666666e+14 3.8959797001118873e-02 -1.4664122034782958e+00
1.8940969072619047e+14 3.9072520960803873e-02 -1.5453676186111447e+00
1.8966461628571428e+14 3.9680135385934283e-02 -1.6187538278175442e+00
1.8991954184523809e+14 4.0600604146423011e-02 -1.6799020673524085e+00
1.9017446740476191e+14 4.1535867688139300e-02 -1.7261050340378452e+00
1.9042939296428572e+14 4.2162343906056658e-02 -1.7588568831207769e+00
1.9068431852380953e+14 4.2212549147605145e-02 -1.7828407401633863e+00
1.9093924408333334e+14 4.1532907742025081e-02 -1.8048825539211322e+00
1.9119416964285712e+14 4.0122067456596605e-02 -1.8333560670043323e+00
1.9144909520238094e+14 3.8157618791848355e-02 -1.8777565855553842e+00
1.9170402076190475e+14 3.6010588156198509e-02 -1.9474845592952783e+00
1.9195894632142856e+14 3.4224445439565578e-02 -2.0482416153198266e+00
1.9221387188095238e+14 3.3402220684224375e-02 -2.1755060067418208e+00
1.9246879744047619e+14 3.3965837010258404e-02 -2.3105375474472853e+00
1.9272372300000000e+14 3.5917596988444545e-02 -2.4283654018432062e+00
1.9297864855952381e+14 3.8841191183891698e-02 -2.5127807306012304e+00
1.9323357411904762e+14 4.2128204481337979e-02 -2.5616393680585090e+00
1.9348849967857144e+14 4.5197933420675608e-02 -2.5815757962882446e+00
1.9359660086208747e+14 4.6319488755570216e-02 -2.5835724730563805e+00
1.9363532405457916e+14 4.6686746000655928e-02 -2.5835724730563805e+00
1.9374342523809522e+14 4.7604269928324734e-02 -2.5819537198076254e+00
1.9399835079761903e+14 4.9066837323253773e-02 -2.5720095742840354e+00
1.9425327635714284e+14 4.9475270067029883e-02 -2.5602039428193053e+00
1.9450820191666666e+14 4.8887585516876733e-02 -2.5543508890667619e+00
1.9476312747619047e+14 4.7525535801520281e-02 -2.5616819198754803e+00
1.9501805303571428e+14 4.5759801585417495e-02 -2.5882714031624685e+00
1.9527297859523809e+14 4.4068017349405325e-02 -2.6373556386664734e+00
1.9552790415476191e+14 4.2941845644493035e-02 -2.7067388504888541e+00
1.9578282971428572e+14 4.2738754369271777e-02 -2.7872752496063558e+00
1.9603775527380953e+14 4.3538813531379755e-02 -2.8654506900410093e+00
1.9629268083333331e+14 4.5112141094993077e-02 -2.9295752072515215e+00
1.9654760639285712e+14 4.7026924494754201e-02 -2.9744125169830791e+00
1.9680253195238094e+14 4.8810553887391618e-02 -3.0011953445778126e+00
1.9705745751190475e+14 5.0072522564285210e-02 -3.0150862613634279e+00
1.9731238307142856e+14 5.0567841773617783e-02 -3.0228577654199436e+00
1.9756730863095238e+14 5.0219554169755334e-02 -3.0316145066287836e+00
1.9782223419047619e+14 4.9118547584391013e-02 -3.0481676582902568e+00
1.9807715975000000e+14 4.7506589714922796e-02 -3.0784430117400725e+00
1.9833208530952381e+14 4.5737567658711328e-02 -3.1264303418789567e+00
1.9858701086904762e+14 4.4206162220342446e-02 -3.1925827019939419e+00
1.9884193642857141e+14 4.3241419381675875e-02 -3.2724893190642450e+00
1.9909686198809522e+14 4.2994727673152863e-02 -3.3575391290541634e+00
1.9935178754761903e+14 4.3385870718703631e-02 -3.4383209006528515e+00
