["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission",2.55405e-14)
(52, 3)
1.8737028625000000e+14 1.0110113071990176e-02 -1.4234181093145830e+00
1.8762521180952381e+14 1.0486010726165659e-02 -1.4368579056708244e+00
1.8788013736904762e+14 1.0942237302212573e-02 -1.4108784821732956e+00
1.8813506292857144e+14 1.1367722004522771e-02 -1.3499854217894884e+00
1.8838998848809525e+14 1.1694891030662187e-02 -1.2602189853074564e+00
1.8864491404761903e+14 1.1892209360080222e-02 -1.1471447250047226e+00
1.8889983960714284e+14 1.1954021590894922e-02 -1.0154428212829432e+00
1.8915476516666666e+14 1.1891174873892288e-02 -8.6912300371053275e-01
1.8940969072619047e+14 1.1722988137895275e-02 -7.1188347523934203e-01
1.8966461628571428e+14 1.1470577997559347e-02 -5.4742426410713996e-01
1.8991954184523809e+14 1.1151745471240026e-02 -3.7964603785974765e-01
1.9017446740476191e+14 1.0777855384831454e-02 -2.1272316123878315e-01
1.9042939296428572e+14 1.0353122828100613e-02 -5.1088011633177492e-02
1.9068431852380953e+14 9.8764173972665809e-03 1.0059415829030426e-01
1.9093924408333334e+14 9.3452723185872069e-03 2.3736491735027818e-01
1.9119416964285712e+14 8.7615105373495695e-03 3.5376247255650189e-01
1.9144909520238094e+14 8.1379298915004034e-03 4.4349182489145034e-01
1.9170402076190475e+14 7.5056448857757354e-03 4.9922750459323506e-01
1.9195894632142856e+14 6.9211771766073378e-03 5.1330896312062080e-01
1.9221387188095238e+14 6.4694758298055296e-03 4.8088911801817275e-01
1.9246879744047619e+14 6.2526420623416302e-03 4.0664637094019168e-01
1.9272372300000000e+14 6.3534396726447557e-03 3.1044070621746678e-01
1.9297864855952381e+14 6.7895273488168418e-03 2.2085143497635185e-01
1.9323357411904762e+14 7.5040136900115613e-03 1.5872936326796347e-01
1.9348849967857144e+14 8.4003739226744985e-03 1.2969774762454420e-01
1.9359660086208747e+14 8.8109434925851444e-03 1.2647241931577274e-01
1.9363532405457916e+14 8.9603154677964838e-03 1.2647241931577274e-01
1.9374342523809522e+14 9.3803635984071061e-03 1.2938260146676886e-01
1.9399835079761903e+14 1.0361403657061022e-02 1.5040148679662962e-01
1.9425327635714284e+14 1.1279502798020240e-02 1.8586463582737350e-01
1.9450820191666666e+14 1.2087431375732531e-02 2.3029469200435962e-01
1.9476312747619047e+14 1.2752436576990678e-02 2.7953950903015212e-01
1.9501805303571428e+14 1.3254461725043389e-02 3.3045310340201517e-01
1.9527297859523809e+14 1.3584782307800988e-02 3.8060034857410441e-01
1.9552790415476191e+14 1.3744805052349167e-02 4.2804116946537729e-01
1.9578282971428572e+14 1.3744829652106067e-02 4.7119234956303785e-01
1.9603775527380953e+14 1.3602643914562729e-02 5.0875516384597708e-01
1.9629268083333331e+14 1.3341870511863236e-02 5.3969952577630420e-01
1.9654760639285712e+14 1.2990010864222249e-02 5.6329807482270067e-01
1.9680253195238094e+14 1.2576157079327036e-02 5.7920180581739600e-01
1.9705745751190475e+14 1.2128392092643603e-02 5.8754005476951920e-01
1.9731238307142856e+14 1.1670997158374677e-02 5.8901249304836722e-01
1.9756730863095238e+14 1.1221740593574496e-02 5.8492585042492962e-01
1.9782223419047619e+14 1.0789687997435696e-02 5.7712705982214851e-01
1.9807715975000000e+14 1.0374047451130762e-02 5.6781070387244326e-01
1.9833208530952381e+14 9.9644322084426872e-03 5.5922903945914126e-01
1.9858701086904762e+14 9.5425797769636261e-03 5.5337978327764681e-01
1.9884193642857141e+14 9.0851620418213753e-03 5.5175590980471567e-01
1.9909686198809522e+14 8.5670725735207884e-03 5.5520431400409642e-01
1.9935178754761903e+14 7.9645907565612899e-03 5.6388108743696030e-01
1.9960671310714284e+14 7.2580285852620503e-03 5.7723967015899180e-01
1.9986163866666666e+14 6.4337157240944819e-03 5.9394338925274859e-01
("port 1","mode 1",1,"port 2",1,"transmission",1.9570472645039490e-13)
(52, 3)
1.8737028625000000e+14 5.0956372170018294e-01 -4.4626615270760150e-01
1.8762521180952381e+14 5.1333457648113479e-01 -4.7208796287053512e-01
1.8788013736904762e+14 5.1704324556147452e-01 -4.9681157946207155e-01
1.8813506292857144e+14 5.2070065005062871e-01 -5.2042559273028488e-01
1.8838998848809525e+14 5.2431455715399555e-01 -5.4291497739950623e-01
1.8864491404761903e+14 5.2788887845601640e-01 -5.6426641527711674e-01
